PROVINCE,REGION,SECTOR,TSIC-2 dg,TSIC-2dg_details,TSIC-5dg,TSIC-5dg_details,BUSINESS SIZE,NUMBER of MSME,DATA SOURCE,YEAR
Ang Thong,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - small establishments,Small,44,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,A,10,Agriculture and food processing,01066,Agriculture and food processing - medium establishments,Medium,10,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,C,20,Manufacturing,02055,Manufacturing - micro establishments,Micro,276,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,C,20,Manufacturing,02055,Manufacturing - small establishments,Small,58,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,C,20,Manufacturing,02066,Manufacturing - medium establishments,Medium,13,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - micro establishments,Micro,320,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - small establishments,Small,75,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,G,30,Wholesale and retail trade,03066,Wholesale and retail trade - medium establishments,Medium,16,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,I,40,Accommodation and food service,04055,Accommodation and food service - micro establishments,Micro,255,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,I,40,Accommodation and food service,04055,Accommodation and food service - small establishments,Small,64,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,I,40,Accommodation and food service,04066,Accommodation and food service - medium establishments,Medium,12,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,J,50,Information and communication,05055,Information and communication - micro establishments,Micro,122,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,J,50,Information and communication,05055,Information and communication - small establishments,Small,30,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,J,50,Information and communication,05066,Information and communication - medium establishments,Medium,6,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,M,60,Professional and technical services,06055,Professional and technical services - micro establishments,Micro,147,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,M,60,Professional and technical services,06055,Professional and technical services - small establishments,Small,29,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Ang Thong,Central,M,60,Professional and technical services,06066,Professional and technical services - medium establishments,Medium,7,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - micro establishments,Micro,214,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - small establishments,Small,49,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,A,10,Agriculture and food processing,01066,Agriculture and food processing - medium establishments,Medium,11,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,C,20,Manufacturing,02055,Manufacturing - micro establishments,Micro,273,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,C,20,Manufacturing,02055,Manufacturing - small establishments,Small,60,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,C,20,Manufacturing,02066,Manufacturing - medium establishments,Medium,13,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - micro establishments,Micro,336,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,G,30,Wholesale and retail trade,03055,Wholesale and retail trade - small establishments,Small,74,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,G,30,Wholesale and retail trade,03066,Wholesale and retail trade - medium establishments,Medium,18,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,I,40,Accommodation and food service,04055,Accommodation and food service - micro establishments,Micro,264,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,I,40,Accommodation and food service,04055,Accommodation and food service - small establishments,Small,59,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,I,40,Accommodation and food service,04066,Accommodation and food service - medium establishments,Medium,14,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,J,50,Information and communication,05055,Information and communication - micro establishments,Micro,132,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,J,50,Information and communication,05055,Information and communication - small establishments,Small,30,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,J,50,Information and communication,05066,Information and communication - medium establishments,Medium,6,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,M,60,Professional and technical services,06055,Professional and technical services - micro establishments,Micro,132,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,M,60,Professional and technical services,06055,Professional and technical services - small establishments,Small,31,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Chai Nat,Central,M,60,Professional and technical services,06066,Professional and technical services - medium establishments,Medium,8,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nakhon Nayok,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - micro establishments,Micro,294,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nakhon Nayok,Central,A,10,Agriculture and food processing,01055,Agriculture and food processing - small establishments,Small,64,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nakhon Nayok,Central,A,10,Agriculture and food processing,01066,Agriculture and food processing - medium establishments,Medium,14,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nakhon Nayok,Central,C,20,Manufacturing,02055,Manufacturing - micro establishments,Micro,339,SYNTHETIC SAMPLE - generated from Scout metadata,2018
Nakhon Nayok,Central,C,20,Manufacturing,02055,Manufacturing - small establishments,Small,82,SYNTHETIC SAMPLE - generated from Scout metadata,2018
