customer_id,signup_date,region,plan_type,acquisition_channel,age,account_tenure_days,avg_order_value,orders_last_90d,app_sessions_last_30d,support_tickets_90d,late_delivery_rate,avg_delivery_delay_hours,discount_ratio,product_variety_score,return_rate_90d,competitor_price_index,days_since_last_order,account_status_30d,post_period_refund_flag,account_note_post_period,is_outlier
PC100844,2023-09-04,metro,plus,social,35.0,484,43.43,4,11,3,0.448,43.46,0.299,54.8,0.093,1.169,42.4,0,N,support,1
PC102154,2023-01-01,rural,premium,organic,35.0,996,50.23,10,12,1,0.192,15.01,0.439,41.0,0.043,0.922,4.9,0,N,support,1
PC100475,2023-09-14,rural,plus,organic,32.0,474,49.31,11,14,1,0.454,27.05,0.363,78.4,0.093,1.167,7.1,0,N,support,0
PC102140,2024-09-18,metro,plus,organic,45.0,104,49.61,3,11,0,0.175,12.03,0.241,59.4,0.33,1.039,34.5,0,N,support,1
PC101018,2023-10-04,suburban,basic,paid_search,30.0,454,44.5,1,9,1,0.11,6.23,0.192,77.0,0.13,1.066,58.7,0,N,support,0
PC101324,2024-08-28,metro,plus,organic,42.0,125,95.86,10,14,0,0.151,27.42,0.177,64.7,0.038,1.13,28.5,0,N,support,0
PC101910,2024-01-26,metro,basic,referral,40.0,340,27.61,10,14,1,0.061,4.41,0.078,67.0,0.076,1.049,18.5,0,N,support,0
PC100940,2024-08-16,metro,basic,referral,31.0,137,65.1,5,6,1,0.145,18.49,0.286,83.5,0.05,0.894,23.7,0,N,support,0
PC101669,2023-11-30,suburban,basic,affiliate,50.0,397,60.57,10,11,1,0.14,9.99,0.222,50.4,0.076,0.885,9.1,0,N,support,0
PC100005,2023-07-20,suburban,premium,referral,33.0,530,30.7,11,12,2,0.171,15.93,0.154,68.1,0.072,0.98,16.1,0,N,support,0
PC100547,2024-04-22,rural,basic,social,40.0,253,44.03,4,8,0,0.068,11.09,0.017,65.5,0.017,0.861,33.5,0,N,support,0
PC100688,2024-04-06,rural,basic,referral,27.0,269,21.94,4,10,2,0.159,20.87,0.128,71.4,0.079,0.913,29.5,0,N,support,0
PC100133,2024-02-06,metro,?,paid_search,27.0,329,19.74,7,9,0,0.077,22.34,0.313,49.7,0.017,0.992,71.1,0,N,support,1
PC100441,2023-12-01,suburban,plus,paid_search,34.0,396,43.0,14,14,0,0.272,45.09,0.171,93.4,0.023,1.015,36.8,0,N,support,0
PC100720,2024-07-13,metro,plus,paid_search,18.0,171,33.36,11,16,1,0.102,11.29,0.243,100.0,0.152,0.891,10.2,0,N,support,0
PC101871,2024-08-23,metro,premium,paid_search,47.0,130,85.75,10,15,0,0.109,8.55,0.087,86.9,0.239,0.813,19.3,1,Y,price,1
PC100481,2024-08-23,rural,basic,organic,41.0,130,25.14,6,13,3,0.343,27.57,0.159,76.3,0.112,0.927,29.4,0,Y,support,1
PC101657,2024-07-15,rural,plus,organic,40.0,169,44.0,14,12,1,0.108,19.5,0.04,56.4,0.034,1.138,38.8,1,Y,support,1
PC100731,2023-12-31,metro,basic,referral,34.0,366,107.27,7,12,0,0.122,22.87,0.338,57.3,0.306,1.128,27.6,0,N,support,1
PC101249,2024-10-24,rural,premium,paid_search,37.0,68,107.82,8,10,1,0.357,30.5,0.0,55.2,0.064,0.903,23.2,0,N,support,0
PC100108,2023-10-29,metro,basic,organic,22.0,429,40.06,6,9,0,0.34,18.07,0.484,65.4,0.229,1.216,32.3,0,N,support,1
PC101357,2023-10-11,suburban,plus,social,27.0,447,105.67,8,10,0,0.187,31.55,0.272,62.0,0.145,1.001,50.0,0,N,support,0
PC101271,2024-09-08,metro,plus,paid_search,32.0,114,38.66,7,10,2,0.151,40.47,0.626,65.0,0.191,0.89,39.0,1,Y,support,1
PC101753,2023-06-12,rural,plus,organic,37.0,568,40.49,5,7,0,0.202,21.26,0.336,61.9,0.026,1.01,21.4,0,N,support,0
PC100031,2023-08-31,suburban,premium,organic,48.0,488,33.41,14,19,1,0.094,8.06,1.15,49.9,0.046,0.968,22.0,0,N,support,1
PC101039,2024-07-14,metro,basic,referral,43.0,170,40.4,11,17,1,0.083,16.61,0.072,35.5,0.051,1.359,19.2,0,N,support,0
PC102060,2023-11-22,metro,basic,paid_search,32.0,405,29.52,7,11,0,0.063,16.75,0.158,92.1,0.022,1.005,33.4,0,N,support,0
PC102144,2024-01-03,rural,plus,referral,63.0,363,93.91,6,11,0,0.181,20.26,0.317,100.0,0.121,0.761,36.5,0,N,support,0
PC101287,2024-04-10,metro,plus,paid_search,37.0,265,66.29,6,8,0,0.32,26.75,0.203,78.8,0.017,1.1,38.0,0,N,support,0
PC100234,2024-04-08,suburban,plus,organic,31.0,267,73.57,12,9,0,0.132,21.17,0.499,92.6,0.006,0.982,9.2,1,Y,support,1
PC102035,2023-10-10,metro,plus,referral,38.0,448,53.29,5,9,0,0.106,25.77,0.213,48.6,0.055,1.008,50.0,0,Y,support,0
PC100175,2023-03-05,rural,plus,organic,48.0,667,48.62,9,18,2,0.259,23.09,0.252,64.4,0.172,0.89,31.0,1,N,support,1
PC100883,2023-10-04,metro,premium,social,26.0,454,54.94,10,15,1,0.048,31.32,0.311,90.0,0.138,1.046,6.4,0,N,support,0
PC101721,2024-07-03,rural,premium,paid_search,67.0,181,61.68,6,10,1,0.137,15.28,0.279,72.6,0.041,0.877,32.3,0,Y,support,0
PC100293,2023-12-26,metro,premium,paid_search,39.0,0,47.51,12,17,2,0.065,7.68,0.22,71.9,0.072,0.949,65.9,0,N,support,0
PC100682,2024-11-18,rural,plus,organic,41.0,43,74.42,10,14,0,0.225,27.23,0.079,49.4,0.037,1.059,27.1,0,N,support,0
PC101807,2024-03-15,metro,basic,paid_search,25.0,291,28.14,7,9,1,0.041,11.15,0.349,48.1,0.049,0.843,20.5,0,N,support,0
PC100065,2023-10-31,metro,premium,social,25.0,427,27.51,6,12,0,0.052,9.26,0.252,67.6,0.025,1.125,33.8,1,Y,late delivery,1
PC101901,2024-06-30,rural,plus,organic,28.0,184,86.21,6,15,1,0.105,38.85,0.583,43.2,0.108,1.229,26.5,0,N,support,0
PC100643,2024-11-01,suburban,plus,social,18.0,60,161.89,6,16,1,0.095,8.54,0.076,38.5,0.094,1.232,29.7,1,Y,support,1
PC100395,2023-12-12,suburban,basic,affiliate,37.0,385,53.61,8,10,0,0.098,7.89,0.359,58.7,0.112,1.082,48.0,0,N,support,0
PC101259,2024-02-18,suburban,prem,paid_search,47.0,317,42.24,5,5,1,0.11,9.53,0.094,44.3,0.037,1.137,29.2,0,N,support,0
PC100700,2024-06-06,rural,basic,organic,44.0,208,59.13,11,11,2,0.124,25.51,0.435,82.0,0.219,1.005,36.2,0,N,support,0
PC102142,2024-09-14,suburban,basic,organic,53.0,108,68.37,5,11,0,0.023,10.17,0.382,46.6,0.039,1.031,40.7,0,N,support,0
PC101928,2024-06-17,metro,basic,social,34.0,197,20.14,8,13,1,0.382,18.56,0.056,62.3,0.071,0.825,14.1,0,N,support,0
PC101057,2024-04-28,suburban,plus,organic,37.0,247,19.8,9,9,1,0.059,2.93,0.429,86.4,0.052,1.112,27.4,0,N,support,0
PC100595,2024-09-01,suburban,basic,organic,49.0,121,28.85,8,16,0,0.379,20.96,0.037,75.4,0.038,1.096,40.3,0,N,support,0
PC101711,2024-07-30,suburban,basic,affiliate,33.0,154,367.32,5,9,2,0.101,25.44,0.388,61.7,0.202,1.01,17.6,0,Y,support,1
PC101728,2024-04-26,suburban,premium,organic,37.0,249,48.0,5,12,1,0.2,23.51,0.36,43.6,0.125,0.803,24.5,0,N,support,0
PC101370,2023-12-29,suburban,premium,organic,36.0,368,45.89,4,7,1,0.142,24.85,0.094,56.5,0.032,1.065,60.4,0,N,support,0
PC100474,2024-03-06,suburban,plus,referral,35.0,300,29.34,5,17,1,0.442,31.18,0.211,89.7,0.133,0.82,28.5,0,N,support,0
PC100916,2024-01-01,metro,basic,paid_search,38.0,365,94.53,8,16,4,0.171,8.8,0.141,50.3,0.181,1.072,29.2,0,N,support,1
PC100546,2024-03-20,metro,premium,organic,54.0,286,71.85,14,15,2,0.009,9.02,0.1,53.6,0.053,0.923,17.0,0,N,support,0
PC101513,2023-12-05,rural,basic,organic,36.0,392,87.79,4,11,1,0.246,145.0,0.2,80.5,0.209,0.942,27.1,0,N,support,1
PC100631,2024-06-17,metro,basic,paid_search,59.0,197,91.67,6,8,1,0.207,30.01,0.359,69.2,0.034,1.016,53.7,0,N,support,0
PC100923,2024-07-30,metro,basic,affiliate,38.0,154,24.1,6,11,2,0.113,33.46,0.421,65.2,0.061,1.186,46.8,0,N,support,0
PC101555,2024-06-21,metro,basic,paid_search,31.0,193,52.89,2,8,1,0.043,9.9,0.176,34.2,0.058,1.023,51.4,0,N,support,0
PC101747,2023-05-03,metro,basic,organic,41.0,608,106.12,6,12,2,0.151,15.48,0.16,44.0,0.042,0.997,52.8,0,N,support,0
PC100830,2023-09-23,rural,basic,paid_search,37.0,465,46.06,7,9,2,0.344,30.34,0.202,76.4,0.13,0.983,24.0,0,Y,support,0
PC101806,2024-05-13,rural,plus,organic,50.0,232,64.17,10,7,1,0.41,25.57,0.191,75.4,0.049,1.111,29.0,0,N,support,0
PC100605,2024-04-27,metro,plus,affiliate,50.0,248,59.73,5,9,1,0.154,12.1,0.216,73.5,0.043,0.897,26.1,0,N,support,0
PC101153,2023-11-10,metro,basic,organic,45.0,417,83.87,11,8,1,0.277,24.72,0.111,76.8,0.024,1.319,39.0,0,Y,support,0
PC100526,2024-06-09,suburban,basic,organic,51.0,205,86.34,6,9,3,0.123,8.46,0.126,60.6,0.195,0.996,50.0,0,N,support,1
PC100574,2024-02-13,metro,plus,paid_search,43.0,322,43.85,7,10,0,0.184,13.9,0.15,39.1,0.1,1.19,69.6,0,N,support,1
PC101106,2024-05-15,metro,basic,paid_search,25.0,230,45.44,11,10,1,0.284,14.73,0.128,76.4,0.083,1.071,19.7,0,N,support,0
PC101189 ,2024-04-07,rural,basic,paid_search,56.0,268,101.32,4,7,1,0.246,24.89,0.327,63.2,0.213,1.202,23.6,0,Y,support,0
PC100577,2024-06-05,suburban,plus,paid_search,36.0,209,69.7,4,16,2,0.166,21.24,0.09,31.3,0.106,1.049,57.5,1,Y,support,1
PC102147,2024-04-24,metro,plus,social,42.0,251,940.92,4,9,0,0.177,27.52,0.309,72.1,0.137,0.915,54.6,0,N,support,1
PC100646,2024-02-02,rural,plus,organic,31.0,333,38.95,10,10,1,0.12,25.97,0.161,60.2,0.059,0.777,8.3,0,N,support,0
PC100665,2024-07-01,metro,plus,organic,55.0,183,33.71,11,16,0,0.239,40.83,0.083,39.9,0.07,0.88,7.6,0,N,support,0
PC100343,2024-11-28,metro,basic,affiliate,36.0,33,97.8,4,1,4,0.191,32.93,0.397,82.0,0.088,0.716,47.0,0,N,support,1
PC100704,2024-05-13,metro,basic,organic,29.0,232,57.38,6,11,1,0.277,33.02,0.204,42.9,0.027,1.083,52.7,0,N,support,0
PC102065,2023-02-15,metro,basic,organic,37.0,685,55.26,13,13,2,0.159,27.68,0.067,49.2,0.176,1.233,13.6,0,N,support,0
PC101203,2024-08-25,metro,basic,affiliate,34.0,128,40.97,3,9,0,0.017,8.67,0.221,30.0,0.0,0.973,47.6,0,N,support,0
PC101025,2024-12-02,metro,basic,referral,31.0,29,63.48,3,6,0,0.217,24.99,0.139,55.3,0.013,0.985,25.7,0,N,support,0
PC102062,2023-11-21,suburban,basic,referral,32.0,406,54.33,10,10,0,0.271,17.59,0.137,60.5,0.05,1.009,14.9,0,N,support,0
PC101652,2024-07-29,suburban,premium,social,32.0,155,57.86,7,16,3,0.226,28.37,0.191,60.8,0.082,1.173,17.5,0,N,support,1
PC101808 ,2024-06-08,rural,basic,affiliate,34.0,206,51.99,4,10,2,0.327,23.84,0.155,32.4,0.062,1.037,36.0,1,N,price,1
PC101409,2024-09-01,metro,basic,paid_search,41.0,121,48.04,5,18,0,0.151,11.61,0.068,59.5,0.109,0.832,40.7,0,N,support,0
PC101720,2024-10-13,suburban,basic,social,37.0,79,68.22,7,12,1,0.192,11.02,0.304,67.6,0.053,0.957,25.0,0,N,support,0
PC101080,2023-04-17,metro,plus,referral,40.0,624,192.63,11,13,0,0.217,12.16,0.17,60.2,0.05,1.116,36.8,0,N,support,1
PC101146,2024-01-16,suburban,plus,referral,52.0,350,37.42,5,12,0,0.075,5.07,0.285,22.3,0.086,1.005,50.6,0,N,support,0
PC100545,2024-05-12,SUBURB,basic,paid_search,53.0,233,40.92,4,10,0,0.019,15.73,0.079,37.5,0.007,0.971,42.2,0,N,support,0
PC101312,2023-09-12,metro,plus,organic,32.0,476,37.63,9,8,0,0.482,26.15,0.277,85.8,0.034,0.929,15.8,0,N,support,1
PC101624,2024-01-18,metro,plus,paid_search,32.0,348,19.5,12,14,1,0.275,33.33,0.224,71.5,0.177,0.761,24.2,0,N,support,0
PC101899,2023-10-18,metro,basic,social,35.0,440,36.4,9,11,1,0.126,12.71,0.128,77.8,0.039,1.021,18.1,0,N,support,0
PC101131,2024-04-25,rural,plus,organic,55.0,250,51.99,11,13,2,0.161,17.71,0.167,74.6,0.085,0.891,25.1,0,Y,support,0
PC100673,2024-09-05,suburban,basic,social,52.0,117,17.46,6,13,1,0.318,22.33,0.367,72.0,0.021,0.94,29.1,0,N,support,0
PC100333,2024-08-06,rural,plus,paid_search,31.0,147,50.0,7,9,0,0.296,19.88,0.059,87.6,0.083,0.764,29.0,0,N,support,0
PC101199,2024-06-02,metro,plus,organic,27.0,212,132.49,7,9,1,0.051,9.13,0.344,60.1,0.099,0.92,29.3,0,N,support,1
PC101508,2024-06-02,metro,plus,paid_search,48.0,212,55.95,6,14,0,0.066,220.0,0.305,47.2,0.217,0.943,15.8,0,N,support,1
PC100847,2024-05-23,suburban,basic,organic,44.0,222,51.68,5,13,2,0.157,15.88,0.253,81.5,0.064,0.868,32.9,1,Y,price,1
