StockCode,product_month,monthly_quantity,monthly_revenue,monthly_invoices,monthly_customers,avg_price,grain
10133,2010-10,104,88.4,11,11,0.85,product_month
10133,2010-11,73,64.48,12,10,1.0525,product_month
10133,2010-12,164,114.98,15,13,0.8626086956521739,product_month
10133,2011-01,180,113.84,21,5,0.7495238095238095,product_month
10133,2011-02,39,34.71,6,6,0.98,product_month
10133,2011-03,83,70.55,7,7,0.85,product_month
10133,2011-04,76,65.38,3,3,1.11,product_month
10133,2011-05,33,28.05,4,4,0.85,product_month
10133,2011-06,526,266.6,41,31,0.5669047619047619,product_month
10133,2011-07,830,416.66,53,32,0.5824528301886792,product_month
10133,2011-08,763,370.89,37,22,0.5926315789473684,product_month
10133,2011-09,207,92.27,9,6,0.5566666666666666,product_month
10134,2009-12,53,67.57,9,8,1.3966666666666667,product_month
10134,2010-01,215,232.01,4,4,1.464,product_month
10134,2010-02,34,42.5,5,5,1.25,product_month
10134,2010-03,64,80.0,8,8,1.25,product_month
10134,2010-04,20,25.0,5,5,1.25,product_month
10134,2010-05,10,12.5,1,1,1.25,product_month
10134,2010-06,17,21.25,3,3,1.25,product_month
10134,2010-07,13,16.25,3,3,1.25,product_month
10134,2010-08,142,152.8,3,3,1.1866666666666668,product_month
10134,2010-09,3,3.75,2,2,1.25,product_month
10134,2010-10,28,35.0,5,5,1.25,product_month
10134,2010-11,28,35.0,4,4,1.25,product_month
10135,2009-12,123,174.87,22,16,1.61,product_month
10135,2010-01,48,60.0,8,8,1.25,product_month
10135,2010-02,868,949.46,17,16,1.301764705882353,product_month
10135,2010-03,101,127.50999999999999,12,12,1.3549999999999998,product_month
10135,2010-04,70,89.87,11,8,1.478181818181818,product_month
10135,2010-05,133,147.25,4,4,1.2025000000000001,product_month
10135,2010-06,73,91.25,7,7,1.25,product_month
10135,2010-07,53,66.25,5,5,1.25,product_month
10135,2010-08,74,92.5,8,8,1.25,product_month
10135,2010-09,45,58.769999999999996,8,7,1.4075,product_month
10135,2010-10,84,106.26,17,14,1.3241176470588234,product_month
10135,2010-11,325,397.33,30,27,1.4064516129032258,product_month
10135,2010-12,456,352.90999999999997,31,18,1.6321951219512196,product_month
10135,2011-01,613,487.38,42,16,1.0616666666666668,product_month
10135,2011-02,272,296.29,12,8,1.6691666666666667,product_month
10135,2011-03,118,98.91,9,9,1.2879999999999998,product_month
10135,2011-04,30,37.5,5,5,1.25,product_month
10135,2011-05,13,22.3,3,3,1.6533333333333333,product_month
10135,2011-06,55,68.75,8,8,1.25,product_month
10135,2011-07,177,221.25,9,9,1.25,product_month
10135,2011-08,152,171.0,4,4,1.2120000000000002,product_month
10135,2011-09,70,99.6,11,9,1.69,product_month
10135,2011-10,70,103.23,13,10,1.6821428571428572,product_month
10135,2011-11,181,225.01999999999998,22,14,1.654090909090909,product_month
10135,2011-12,69,97.14,6,6,1.6533333333333333,product_month
10138,2009-12,176,74.74,10,8,0.502,product_month
10138,2010-01,15,7.08,3,3,0.5499999999999999,product_month
10138,2010-02,36,15.120000000000001,3,3,0.42,product_month
10138,2010-03,13,5.46,2,2,0.42,product_month
10138,2010-04,21,8.82,3,3,0.42,product_month
11001,2009-12,202,353.56,19,14,2.1645454545454546,product_month
11001,2010-01,83,140.27,4,4,1.69,product_month
11001,2010-02,17,28.73,2,2,1.69,product_month
11001,2010-03,53,92.91,6,6,1.9285714285714286,product_month
11001,2010-04,70,128.32,7,4,2.4057142857142857,product_month
11001,2010-05,713,1003.37,10,8,1.6059999999999999,product_month
11001,2010-06,204,336.36,14,14,1.66,product_month
11001,2010-07,48,81.12,3,3,1.6900000000000002,product_month
11001,2010-08,334,564.46,8,8,1.69,product_month
11001,2010-09,159,270.38,16,16,1.7827777777777776,product_month
11001,2010-10,999,1488.38,27,20,1.7207407407407407,product_month
11001,2010-11,335,536.42,22,18,1.9395454545454547,product_month
11001,2010-12,127,234.67,11,6,2.3776470588235297,product_month
11001,2011-01,33,57.44,3,3,2.2466666666666666,product_month
11001,2011-02,26,59.94,2,2,2.49,product_month
11001,2011-03,52,92.68,5,4,2.33,product_month
11001,2011-04,36,60.84,4,4,1.69,product_month
11001,2011-05,96,162.24,5,5,1.69,product_month
11001,2011-06,201,251.96999999999997,9,6,1.498888888888889,product_month
11001,2011-07,236,244.9,26,5,1.021111111111111,product_month
11001,2011-08,499,650.03,6,5,1.8166666666666667,product_month
11001,2011-09,96,167.04,10,7,2.0100000000000002,product_month
11001,2011-10,116,221.64,13,9,2.3757142857142854,product_month
11001,2011-11,128,237.12,14,8,2.3757142857142854,product_month
11001,2011-12,22,45.18,5,4,2.65,product_month
15030,2009-12,10,2.9,1,1,0.29,product_month
15030,2010-01,15,4.35,2,2,0.29,product_month
15030,2010-03,10,2.9,1,1,0.29,product_month
15030,2010-04,10,2.9,1,1,0.29,product_month
15030,2010-06,10,2.8999999999999995,2,2,0.29,product_month
15030,2010-07,23,6.67,3,3,0.29,product_month
15030,2010-08,5,1.45,1,1,0.29,product_month
15030,2010-09,25,7.25,2,2,0.29,product_month
15030,2010-10,3,0.8699999999999999,1,1,0.29,product_month
15030,2011-03,5,1.45,1,1,0.29,product_month
15030,2011-06,10,2.9,1,1,0.29,product_month
15030,2011-07,89,25.81,4,4,0.29,product_month
15030,2011-08,2,0.58,1,1,0.29,product_month
15030,2011-09,3,0.8699999999999999,1,1,0.29,product_month
15030,2011-10,10,2.9,1,1,0.29,product_month
15030,2011-11,22,6.379999999999999,2,2,0.29,product_month
15030,2011-12,2,0.58,1,1,0.29,product_month
15034,2009-12,85,19.490000000000002,9,5,0.5233333333333333,product_month
15034,2010-01,323,51.25000000000001,6,4,0.47500000000000003,product_month
15034,2010-02,128,55.440000000000005,7,4,0.5228571428571429,product_month
15034,2010-03,182,26.82,5,5,0.274,product_month
15034,2010-04,62,10.020000000000001,4,3,0.47500000000000003,product_month
15034,2010-05,414,60.64000000000001,11,10,0.24307692307692308,product_month
15034,2010-06,845,102.17,20,20,0.17,product_month
15034,2010-07,616,112.78000000000002,19,13,0.34700000000000003,product_month
15034,2010-08,200,32.97,12,10,0.3175,product_month
15034,2010-09,256,36.55,8,7,0.22875,product_month
15034,2010-10,88,15.160000000000002,5,3,0.5660000000000001,product_month
15034,2010-11,447,64.71000000000001,11,9,0.3336363636363636,product_month
15034,2010-12,74,17.46,9,5,0.5186666666666667,product_month
15034,2011-01,177,31.050000000000004,6,2,0.7216666666666667,product_month
15034,2011-02,80,16.720000000000002,4,3,0.485,product_month
15034,2011-03,123,19.290000000000003,6,6,0.255,product_month
15034,2011-04,541,59.63000000000001,11,10,0.19636363636363638,product_month
15034,2011-05,827,123.37,18,15,0.29333333333333333,product_month
15034,2011-06,1621,126.83000000000001,11,11,0.18999999999999997,product_month
15034,2011-07,212,34.510000000000005,9,7,0.37,product_month
15034,2011-08,205,95.63,14,6,0.5835714285714285,product_month
15034,2011-09,394,59.99000000000001,15,13,0.232,product_month
15034,2011-10,1791,168.81000000000003,10,8,0.33999999999999997,product_month
15034,2011-11,573,91.26000000000002,23,15,0.41,product_month
15034,2011-12,2,1.66,2,1,0.83,product_month
15036,2009-12,606,399.25,30,12,1.056,product_month
15036,2010-01,399,283.94,30,15,0.9866666666666667,product_month
15036,2010-02,451,298.35,19,14,0.8189473684210526,product_month
15036,2010-03,1323,880.69,36,25,0.9005555555555556,product_month
15036,2010-04,1907,1314.4,39,32,0.8458974358974359,product_month
15036,2010-05,2687,1811.56,48,38,0.8579166666666667,product_month
15036,2010-06,4265,2923.5299999999997,89,64,0.8560674157303371,product_month
15036,2010-07,3785,2774.23,72,51,0.8679166666666667,product_month
15036,2010-08,288,324.12,16,4,1.1475,product_month
15036,2010-09,50,49.16,10,2,1.068,product_month
15036,2010-10,3013,2090.2400000000002,27,19,0.9155555555555556,product_month
15036,2010-11,1672,1247.72,57,33,0.9696491228070176,product_month
15036,2010-12,254,210.64000000000001,23,11,1.0305882352941176,product_month
15036,2011-01,977,634.12,27,11,1.0274074074074075,product_month
15036,2011-02,2260,1586.36,30,21,0.982,product_month
15036,2011-03,3104,2251.52,38,22,1.082051282051282,product_month
15036,2011-04,1966,1527.26,41,31,1.013170731707317,product_month
15036,2011-05,4684,3708.92,74,49,0.9528378378378377,product_month
15036,2011-06,3346,2706.58,70,48,1.0398571428571428,product_month
15036,2011-07,3486,2690.98,53,35,1.0652830188679243,product_month
15036,2011-08,1427,1277.2099999999998,45,24,1.200888888888889,product_month
15036,2011-09,487,433.33,29,17,1.1572413793103447,product_month
15036,2011-10,1255,1010.05,36,24,1.093611111111111,product_month
15036,2011-11,604,533.32,42,25,1.1347619047619046,product_month
15036,2011-12,69,74.07,10,3,1.47,product_month
15039,2009-12,40,34.85,7,7,0.9714285714285714,product_month
15039,2010-01,17,22.55,7,4,1.3128571428571427,product_month
15039,2010-02,552,309.2,7,7,0.7585714285714286,product_month
15039,2010-03,145,145.12,14,11,1.0814285714285714,product_month
15039,2010-04,38,42.83,5,5,1.012,product_month
15039,2010-05,110,113.75,15,11,1.12,product_month
15039,2010-06,401,405.24,26,18,1.1180769230769232,product_month
15039,2010-07,636,474.61,31,20,1.0383870967741935,product_month
15039,2010-08,349,336.74,18,12,1.1022222222222222,product_month
15039,2010-09,360,228.43,10,9,0.9681818181818183,product_month
15039,2010-10,278,177.36,3,3,0.9724999999999999,product_month
15039,2010-11,86,77.14999999999999,18,14,1.0205263157894737,product_month
15039,2010-12,36,33.84,5,4,1.15375,product_month
15039,2011-01,54,74.91,6,3,1.25,product_month
15039,2011-02,11,17.93,6,1,1.63,product_month
15039,2011-03,32,45.919999999999995,10,3,1.4739999999999998,product_month
15039,2011-04,55,49.09,10,8,1.084,product_month
15039,2011-05,605,420.59000000000003,14,10,0.9942857142857143,product_month
15039,2011-06,470,370.2,22,11,1.2254545454545454,product_month
15039,2011-07,241,233.70999999999998,12,7,1.24,product_month
15039,2011-08,152,197.06,17,9,1.2629411764705882,product_month
15039,2011-09,61,55.75,8,7,1.045,product_month
15039,2011-10,134,115.06,9,4,1.3344444444444443,product_month
15039,2011-11,209,304.78999999999996,20,10,1.2585714285714285,product_month
15039,2011-12,47,75.05,6,3,1.3699999999999999,product_month
15044A,2009-12,20,71.36000000000001,8,5,4.495,product_month
15044A,2010-01,21,68.00000000000001,5,4,4.16,product_month
15044A,2010-02,20,61.96000000000001,5,4,3.5420000000000003,product_month
15044A,2010-03,119,321.45000000000005,18,17,2.8833333333333337,product_month
15044A,2010-04,283,760.7700000000001,18,17,3.256666666666667,product_month
15044A,2010-05,95,279.53000000000003,22,18,3.335454545454546,product_month
15044A,2010-06,3686,9466.26,34,24,3.785294117647059,product_month
15044A,2010-07,101,292.75,17,11,3.7970588235294116,product_month
15044A,2010-08,27,88.53,9,7,3.9366666666666665,product_month
15044A,2010-09,9,32.47,3,3,3.936666666666667,product_month
15044A,2010-10,108,278.6,4,4,2.85,product_month
15044A,2010-11,17,50.150000000000006,5,4,2.95,product_month
15044A,2010-12,6,17.700000000000003,1,1,2.95,product_month
15044A,2011-01,20,59.0,3,3,2.9500000000000006,product_month
15044A,2011-02,13,49.71,5,5,3.518,product_month
15044A,2011-03,95,265.93,10,9,3.43,product_month
15044A,2011-04,42,132.42000000000002,10,9,3.518,product_month
15044A,2011-05,73,229.55,18,14,3.738888888888889,product_month
15044A,2011-06,63,202.89000000000001,16,14,3.4825,product_month
15044A,2011-07,53,164.87000000000003,10,8,3.8020000000000005,product_month
15044A,2011-08,27,102.37,8,5,4.37,product_month
15044A,2011-09,32,102.92000000000002,7,6,3.7614285714285716,product_month
15044A,2011-10,3,8.850000000000001,1,1,2.95,product_month
15044A,2011-11,34,105.98000000000002,10,10,3.518,product_month
15044A,2011-12,3,14.530000000000001,3,3,4.843333333333334,product_month
15044B,2009-12,12,44.67,7,5,4.274285714285715,product_month
15044B,2010-01,10,38.38,5,3,4.726000000000001,product_month
15044B,2010-02,20,59.00000000000001,3,3,2.9500000000000006,product_month
15044B,2010-03,27,74.85000000000001,5,5,2.87,product_month
15044B,2010-04,217,583.11,13,13,3.1161538461538467,product_month
15044B,2010-05,107,314.93000000000006,20,17,3.374,product_month
15044B,2010-06,720,1887.68,30,24,3.5020000000000002,product_month
15044B,2010-07,126,363.54,21,16,3.3538095238095242,product_month
15044B,2010-08,81,236.71,14,9,4.19,product_month
15044B,2010-09,1,5.91,1,1,5.91,product_month
15044B,2010-10,18,59.02000000000001,7,6,3.795714285714286,product_month
15044B,2010-11,10,29.500000000000004,3,3,2.9500000000000006,product_month
15044B,2010-12,6,23.62,3,3,3.936666666666667,product_month
15044B,2011-01,24,70.80000000000001,2,2,2.95,product_month
15044B,2011-02,16,52.88000000000001,5,3,4.086,product_month
15044B,2011-03,70,192.18,6,5,3.83,product_month
15044B,2011-04,28,93.96000000000001,10,8,3.8020000000000005,product_month
15044B,2011-05,112,318.92,17,16,3.260588235294118,product_month
15044B,2011-06,37,114.83000000000001,11,10,3.4663636363636368,product_month
15044B,2011-07,25,73.75,4,4,2.95,product_month
15044B,2011-09,6,17.700000000000003,2,2,2.95,product_month
15044C,2009-12,7,36.1,7,3,5.1571428571428575,product_month
15044C,2010-01,11,35.410000000000004,5,5,3.5420000000000003,product_month
15044C,2010-02,8,23.6,2,2,2.95,product_month
15044C,2010-03,95,255.45000000000002,13,13,2.888461538461539,product_month
15044C,2010-04,60,177.00000000000003,13,13,2.95,product_month
15044C,2010-05,83,238.21000000000004,15,15,3.1206666666666667,product_month
15044C,2010-06,126,422.74,33,18,4.283333333333333,product_month
15044C,2010-07,122,372.46000000000004,22,14,3.8736363636363635,product_month
15044C,2010-08,94,286.90000000000003,16,9,4.319411764705883,product_month
15044C,2010-09,24,76.72000000000001,7,6,3.6900000000000004,product_month
15044C,2010-10,9,29.51,5,5,3.4433333333333334,product_month
15044C,2010-11,17,56.07000000000001,5,4,4.134,product_month
15044C,2010-12,13,53.150000000000006,4,3,4.430000000000001,product_month
15044C,2011-01,7,40.53,2,1,5.79,product_month
15044C,2011-02,8,23.6,2,2,2.95,product_month
15044C,2011-03,82,233.26000000000002,10,7,4.046,product_month
15044C,2011-04,16,67.08,9,5,4.527777777777778,product_month
15044C,2011-05,35,114.61000000000001,13,10,3.823846153846154,product_month
15044C,2011-06,44,144.00000000000003,14,11,3.5585714285714287,product_month
15044C,2011-07,40,135.04000000000002,10,7,4.086,product_month
15044C,2011-08,16,55.720000000000006,5,4,4.086,product_month
15044C,2011-09,31,97.13000000000001,7,7,3.355714285714286,product_month
15044C,2011-10,6,20.540000000000003,4,4,3.66,product_month
15044C,2011-11,17,50.150000000000006,6,6,2.95,product_month
15044C,2011-12,2,5.9,2,2,2.95,product_month
15044D,2009-12,20,83.72,10,6,4.495,product_month
15044D,2010-01,31,109.34,6,5,3.9583333333333335,product_month
15044D,2010-02,75,204.21,5,5,3.4620000000000006,product_month
15044D,2010-03,110,303.78000000000003,16,12,3.43,product_month
15044D,2010-04,123,345.81,14,14,3.1206666666666667,product_month
15044D,2010-05,98,279.50000000000006,17,17,2.926470588235294,product_month
15044D,2010-06,170,491.1,27,19,3.921851851851852,product_month
15044D,2010-07,185,511.67,20,18,3.193809523809524,product_month
15044D,2010-08,99,275.01,13,10,3.1469230769230774,product_month
15044D,2010-09,14,44.260000000000005,3,3,3.936666666666667,product_month
15044D,2010-10,20,64.92000000000002,9,8,3.6077777777777778,product_month
15044D,2010-11,7,26.57,3,3,3.936666666666667,product_month
15044D,2010-12,2,11.82,1,1,5.91,product_month
15044D,2011-01,33,100.19,5,5,3.518,product_month
15044D,2011-02,8,29.28,2,2,4.37,product_month
15044D,2011-03,133,355.19,9,9,3.1766666666666667,product_month
15044D,2011-04,28,85.44000000000001,11,11,3.208181818181818,product_month
15044D,2011-05,68,206.28000000000003,14,13,3.355714285714286,product_month
15044D,2011-06,35,106.09,9,9,3.2655555555555558,product_month
15044D,2011-07,109,293.55,8,8,2.9000000000000004,product_month
15044D,2011-08,25,90.79,6,4,4.37,product_month
15044D,2011-09,101,269.15,7,7,2.9000000000000004,product_month
15044D,2011-10,78,201.29999999999998,3,3,2.8166666666666664,product_month
15044D,2011-11,24,73.64000000000001,8,8,3.305,product_month
15044D,2011-12,2,5.9,1,1,2.95,product_month
15056BL,2009-12,2195,8713.4,69,49,5.8837662337662335,product_month
15056BL,2010-01,1112,4490.53,42,26,6.163863636363637,product_month
15056BL,2010-02,343,1801.6200000000001,35,30,6.021025641025641,product_month
15056BL,2010-03,216,1221.51,40,33,6.306046511627907,product_month
15056BL,2010-04,149,840.09,23,22,6.495217391304348,product_month
15056BL,2010-05,123,675.62,23,21,6.1573913043478266,product_month
15056BL,2010-06,205,1126.83,26,24,6.432307692307693,product_month
15056BL,2010-07,323,1700.16,40,20,5.956888888888889,product_month
15056BL,2010-08,517,2789.69,45,36,6.111132075471698,product_month
15056BL,2010-09,370,2031.3500000000001,56,34,6.192982456140351,product_month
15056BL,2010-10,683,3626.6200000000003,59,54,6.012833333333334,product_month
15056BL,2010-11,470,2694.8900000000003,78,64,6.314024390243903,product_month
15056BL,2010-12,290,1745.2,34,23,6.589607843137255,product_month
15056BL,2011-01,193,1047.88,24,19,6.680416666666667,product_month
15056BL,2011-02,115,684.25,17,14,5.95,product_month
15056BL,2011-03,122,725.9,15,14,5.95,product_month
15056BL,2011-04,91,547.96,15,13,6.384,product_month
15056BL,2011-05,198,1077.63,23,19,6.712173913043478,product_month
15056BL,2011-06,144,812.33,24,19,6.597083333333334,product_month
15056BL,2011-07,515,2700.56,32,28,5.9753125,product_month
15056BL,2011-08,221,1228.01,25,20,6.3508000000000004,product_month
15056BL,2011-09,261,1495.77,34,30,6.253529411764706,product_month
15056BL,2011-10,549,2892.57,35,30,6.179142857142858,product_month
15056BL,2011-11,169,983.59,35,29,6.4794285714285715,product_month
15056BL,2011-12,72,447.93,8,7,8.39125,product_month
15056N,2009-12,1644,5992.95,49,33,5.770408163265306,product_month
15056N,2010-01,775,2771.56,28,14,5.828214285714286,product_month
15056N,2010-02,317,1653.69,23,20,6.364782608695653,product_month
15056N,2010-03,412,2214.48,48,40,6.368333333333333,product_month
15056N,2010-04,643,3554.79,59,42,7.56949152542373,product_month
15056N,2010-05,398,2371.82,48,34,7.559166666666667,product_month
15056N,2010-06,654,3569.3,57,42,7.451379310344827,product_month
15056N,2010-07,515,2781.52,59,28,6.770819672131148,product_month
15056N,2010-08,588,3281.38,48,36,6.995,product_month
15056N,2010-09,402,2246.09,45,36,6.296888888888889,product_month
15056N,2010-10,498,2716.06,53,45,6.401481481481482,product_month
15056N,2010-11,490,2669.12,60,47,6.411475409836066,product_month
15056N,2010-12,221,1246.71,31,25,6.927555555555556,product_month
15056N,2011-01,139,832.34,33,24,7.295151515151516,product_month
15056N,2011-02,278,1513.16,35,26,6.436944444444445,product_month
15056N,2011-03,480,2584.08,43,33,6.765348837209303,product_month
15056N,2011-04,180,1063.08,29,25,6.813448275862069,product_month
15056N,2011-05,346,1937.29,32,26,6.8734375000000005,product_month
15056N,2011-06,398,2224.25,48,33,7.5200000000000005,product_month
15056N,2011-07,700,3762.1600000000003,51,37,7.216862745098039,product_month
15056N,2011-08,420,2352.57,39,30,6.682051282051282,product_month
15056N,2011-09,351,2059.59,42,36,6.644318181818182,product_month
15056N,2011-10,275,1603.31,32,28,6.70125,product_month
15056N,2011-11,162,912.45,31,23,6.935483870967742,product_month
15056N,2011-12,84,513.84,10,8,7.803,product_month
15056P,2009-12,712,2427.55,14,12,7.178571428571429,product_month
15056P,2010-01,15,89.25,5,5,5.95,product_month
15056P,2010-02,55,303.25,10,8,5.677272727272728,product_month
15056P,2010-03,60,345.0,18,17,5.8388888888888895,product_month
15056P,2010-04,60,370.54,16,14,6.796250000000001,product_month
15056P,2010-05,56,333.2,15,15,5.95,product_month
15056P,2010-06,114,641.38,21,19,6.49952380952381,product_month
15056P,2010-07,242,1244.67,30,12,5.509,product_month
15056P,2010-08,94,506.07,12,12,6.430833333333333,product_month
15056P,2010-09,23,136.85000000000002,10,10,5.95,product_month
15056P,2010-10,69,417.32000000000005,24,23,6.232083333333333,product_month
15056P,2010-11,198,1064.8700000000001,25,25,6.095,product_month
15056P,2010-12,126,633.64,12,11,6.672666666666667,product_month
15056P,2011-01,16,101.71000000000001,7,7,6.880000000000001,product_month
15056P,2011-02,25,148.75,9,9,5.95,product_month
15056P,2011-03,37,226.66,11,11,6.4925,product_month
15056P,2011-04,96,517.71,12,11,6.409166666666667,product_month
15056P,2011-05,77,404.66,7,7,6.7371428571428575,product_month
