antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.04154757344491263,0.039484927954739665,0.030144090520670654,0.725531914893617,18.37490790727215,1.0,0.028503587576504025,3.4995510376842818,0.9865674417833072,0.5923566878980893,0.7142490595988796,0.7444823753572563
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.039484927954739665,0.04154757344491263,0.030144090520670654,0.7634328358208955,18.37490790727215,1.0,0.028503587576504025,4.051502370926867,0.9844488504735293,0.5923566878980893,0.7531779798091963,0.7444823753572563
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.037510681557002684,0.04016265433008221,0.0246338804254943,0.6567164179104478,16.35141971726109,1.0,0.02312735188843461,2.7960479199949777,0.9754323636808943,0.46444444444444455,0.6423523385100652,0.6350346579647617
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.04016265433008221,0.037510681557002684,0.0246338804254943,0.6133528980190757,16.35141971726109,1.0,0.02312735188843461,2.4893224687624396,0.9781274245494176,0.46444444444444455,0.5982842670852734,0.6350346579647617
SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX,0.04030998615080885,0.03927866340572237,0.024427615876477002,0.6059941520467836,15.428074672176816,1.0,0.02284429349857005,2.4383428357346415,0.9744637172093128,0.4428418803418803,0.5898853986630995,0.6139498142079379
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.03927866340572237,0.04030998615080885,0.024427615876477002,0.6219054763690922,15.428074672176814,1.0,0.02284429349857005,2.53822775488288,0.9734176421847046,0.4428418803418803,0.606024322255454,0.6139498142079379
HANGING HEART ZINC T-LIGHT HOLDER,SINGLE HEART ZINC T-LIGHT HOLDER,0.04487727259333471,0.033738986946400686,0.02006659398296844,0.4471437951411687,13.253029673105539,1.0,0.018552480268751854,1.7477619036587075,0.9679861324220683,0.34272773024660286,0.4278396857680483,0.5209518102343398
SINGLE HEART ZINC T-LIGHT HOLDER,HANGING HEART ZINC T-LIGHT HOLDER,0.033738986946400686,0.04487727259333471,0.02006659398296844,0.5947598253275108,13.253029673105537,1.0,0.018552480268751854,2.3569300062082577,0.9568279609761199,0.34272773024660286,0.5757192630388022,0.5209518102343398
WOODLAND CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,0.04635059080060112,0.04063411615640746,0.020420190352712378,0.4405594405594405,10.842107131447232,1.0,0.01853677506220264,1.7148665173704216,0.9518875568189621,0.3067729083665338,0.41686423411345086,0.47154875581271516
STRAWBERRY CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,0.04063411615640746,0.04635059080060112,0.020420190352712378,0.5025380710659898,10.84210713144723,1.0,0.01853677506220264,1.9170299348191997,0.9462156425114836,0.3067729083665338,0.47835973667551895,0.47154875581271516
WOODLAND CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.04635059080060112,0.04134130889589534,0.02039072398856705,0.43992371265098534,10.641262320909828,1.0,0.018474529896772156,1.7116573451836057,0.9500621274762582,0.3029772329246935,0.41577091769338204,0.46657625404466585
CHARLOTTE BAG SUKI DESIGN,WOODLAND CHARLOTTE BAG,0.04134130889589534,0.04635059080060112,0.02039072398856705,0.49322879543834636,10.641262320909828,1.0,0.018474529896772156,1.8818145163245519,0.9450977652192052,0.3029772329246935,0.4685979987267075,0.46657625404466585
VINTAGE HEADS AND TAILS CARD GAME,VINTAGE SNAP CARDS,0.038689336122815804,0.05563249550637947,0.02257123493532133,0.5833968012185834,10.48661930241264,1.0,0.020418850617323975,2.2668273005486723,0.941048941848062,0.3145790554414784,0.5588547924414198,0.4945585701008171
VINTAGE SNAP CARDS,VINTAGE HEADS AND TAILS CARD GAME,0.05563249550637947,0.038689336122815804,0.02257123493532133,0.4057203389830508,10.48661930241264,1.0,0.020418850617323975,1.6176065360072405,0.9579325619785696,0.3145790554414784,0.38180269568623704,0.4945585701008171
STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,0.06806730117570793,0.04366915166337625,0.03099861508088517,0.45541125541125543,10.428671912882441,1.0,0.028026173782526472,1.7560606197596194,0.9701457134438123,0.3839416058394161,0.4305435764871907,0.5826314036840353
SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,0.04366915166337625,0.06806730117570793,0.03099861508088517,0.7098515519568152,10.42867191288244,1.0,0.028026173782526472,3.2119168829246534,0.9453951156705424,0.3839416058394161,0.6886594403123418,0.5826314036840353
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.03774641247016531,0.05412971093496773,0.02118631582049091,0.5612802498048399,10.369171386840966,1.0,0.0191431134246488,2.1559783635094414,0.9390043230601597,0.29970821175489787,0.5361734528855717,0.47633963497318754
LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,0.05412971093496773,0.03774641247016531,0.02118631582049091,0.3913990201415351,10.369171386840964,1.0,0.0191431134246488,1.5810910914958018,0.955268697004753,0.29970821175489787,0.367525371954412,0.47633963497318754
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.05946312284527212,0.04204850163538321,0.024722279517930282,0.41575817641228935,9.88758600764111,1.0,0.022221944299725863,1.6396489598810826,0.9556914793371675,0.3219493476592478,0.3901133569026104,0.5018524589139232
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,0.04204850163538321,0.05946312284527212,0.024722279517930282,0.587946741415557,9.88758600764111,1.0,0.022221944299725863,2.282561434863599,0.938317943062536,0.3219493476592478,0.5618956910749008,0.5018524589139232
HOT WATER BOTTLE TEA AND SYMPATHY,CHOCOLATE HOT WATER BOTTLE,0.0466452544420544,0.050711612694109676,0.022865898576774613,0.4902084649399874,9.666591908581262,1.0,0.020500442499490953,1.8621109257809474,0.9404169101607284,0.3069620253164557,0.4629750643986948,0.47055455205163227
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,0.050711612694109676,0.0466452544420544,0.022865898576774613,0.45090063916327716,9.66659190858126,1.0,0.020500442499490953,1.7362153620161105,0.9444452666792962,0.3069620253164557,0.42403458587142656,0.47055455205163227
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.05910952647552818,0.060671243775230574,0.032825529657895515,0.5553339980059822,9.153166532457027,1.0,0.029239281167660298,2.112436642361982,0.9467076309684138,0.3774991528295493,0.5266130212161684,0.5481866687455845
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.060671243775230574,0.05910952647552818,0.032825529657895515,0.541039339485187,9.153166532457025,1.0,0.029239281167660298,2.0500460158591403,0.9482816163012869,0.3774991528295493,0.5122060713447368,0.5481866687455845
LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,0.04997495359047647,0.06087750832424787,0.025517871349854143,0.5106132075471699,8.387551028329286,1.0,0.02247552069664601,1.9189780070868383,0.9271078603814674,0.2990331491712708,0.4788892856994856,0.46489034046283956
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,0.06087750832424787,0.04997495359047647,0.025517871349854143,0.41916747337850924,8.387551028329286,1.0,0.02247552069664601,1.6356264549017299,0.9378709336562673,0.2990331491712708,0.3886134593854554,0.46489034046283956
HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.06338214927660075,0.057518342811680466,0.029495830509473436,0.4653649465364947,8.090722433713637,1.0,0.025850194319240807,1.7628504735757176,0.9357088830756483,0.322695035460993,0.4327369138849154,0.4890861617928375
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.057518342811680466,0.06338214927660075,0.029495830509473436,0.5128073770491803,8.090722433713637,1.0,0.025850194319240807,1.9224795421788383,0.929887214551901,0.322695035460993,0.4798384180116414,0.4890861617928375
60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.06267495653711289,0.04302089165217904,0.021569378554380174,0.34414668547249644,7.999524701972679,1.0,0.01887304603989201,1.4591358877819463,0.9334996212140734,0.2563922942206655,0.31466287110509317,0.42275827424309753
72 SWEETHEART FAIRY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.04302089165217904,0.06267495653711289,0.021569378554380174,0.5013698630136986,7.999524701972679,1.0,0.01887304603989201,1.8798002245272185,0.9143277689078325,0.2563922942206655,0.4680285772114394,0.42275827424309753
JUMBO STORAGE BAG SKULLS,JUMBO STORAGE BAG SUKI,0.03892506703597843,0.06862716209446916,0.020272858531985738,0.5208175624526874,7.589087856142917,1.0,0.017601541646969567,1.9436706459292359,0.9033966333401783,0.23227548953409857,0.48550954242460304,0.4081116579974901
JUMBO STORAGE BAG SUKI,JUMBO STORAGE BAG SKULLS,0.06862716209446916,0.03892506703597843,0.020272858531985738,0.2954057535422928,7.589087856142916,1.0,0.017601541646969567,1.3640118944992117,0.9322065487542158,0.23227548953409857,0.2668685632194258,0.4081116579974901
PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.058726463741638917,0.06267495653711289,0.027285853198573826,0.46462619167084795,7.4132670741577655,1.0,0.023605174635988272,1.7507861402263674,0.9190810903422242,0.2899185973700688,0.4288280121576098,0.4499905758542298
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.06267495653711289,0.058726463741638917,0.027285853198573826,0.43535496003761165,7.4132670741577655,1.0,0.023605174635988272,1.6670181612169308,0.9229527302701039,0.2899185973700688,0.4001265113572635,0.4499905758542298
LUNCH BAG WOODLAND,LUNCH BAG CARS BLUE,0.056752217343901935,0.0609069746883932,0.024221351327459704,0.42679127725856697,7.00726442976487,1.0,0.02076474546218448,1.6383090278534007,0.9088714258123406,0.2592242194891201,0.38961454585265104,0.412234535581388
LUNCH BAG CARS BLUE,LUNCH BAG WOODLAND,0.0609069746883932,0.056752217343901935,0.024221351327459704,0.397677793904209,7.00726442976487,1.0,0.02076474546218448,1.5660186078314495,0.9128924760489123,0.2592242194891201,0.3614379835596245,0.412234535581388
JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT,0.09632554439107759,0.04251996346170846,0.028464507764386953,0.2955032119914347,6.949752255962107,1.0,0.02436874913644916,1.3590978026242617,0.9473654737128632,0.2578750667378537,0.26421777883157876,0.4824709407150521
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.04251996346170846,0.09632554439107759,0.028464507764386953,0.6694386694386695,6.949752255962107,1.0,0.02436874913644916,2.7337573153955455,0.8941282805387484,0.2578750667378537,0.634203082194474,0.4824709407150521
LUNCH BAG WOODLAND,LUNCH BAG SPACEBOY DESIGN,0.056752217343901935,0.06211509561835165,0.024280284055750362,0.42782969885773625,6.887692832132351,1.0,0.02075511464888042,1.639170894590794,0.9062449103509018,0.25669781931464175,0.38993548305428993,0.4093607697324735
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND,0.06211509561835165,0.056752217343901935,0.024280284055750362,0.39089184060721066,6.887692832132351,1.0,0.02075511464888042,1.548571904859077,0.9114268693720419,0.25669781931464175,0.3542437410479806,0.4093607697324735
