customer_id,signup_date,region,plan_type,acquisition_channel,age,account_tenure_days,avg_order_value,orders_last_90d,app_sessions_last_30d,support_tickets_90d,late_delivery_rate,avg_delivery_delay_hours,discount_ratio,product_variety_score,return_rate_90d,competitor_price_index,days_since_last_order,account_status_30d,delay_risk_band,discount_band
PC100041,2024-07-20,suburban,basic,organic,34,164,33.98,7,11,0,0.096,22.88,0.049,87.1,0.053,1.13,59.9,0,watch,low
PC100042,2024-06-21,suburban,plus,affiliate,54,193,58.92,6,12,1,0.104,8.03,0.152,75.6,0.03,1.084,85.7,0,low,healthy
PC100043,2024-07-19,suburban,premium,referral,23,165,88.35,7,15,1,0.136,14.33,0.357,33.5,0.152,1.206,18.7,1,low,high
PC100044,2024-06-20,metro,plus,organic,45,194,88.86,12,16,0,0.392,31.83,0.097,66.8,0.1,1.117,10.7,0,high,low
PC100045,2024-07-31,metro,premium,affiliate,46,153,47.41,9,11,1,0.224,12.51,0.251,91.3,0.071,1.065,9.3,0,low,healthy
PC100046,2023-11-14,rural,premium,referral,38,413,20.09,9,8,3,0.243,19.87,0.411,62.9,0.196,1.032,10.5,0,watch,high
PC100047,2024-08-24,metro,basic,paid_search,36,129,32.4,10,16,2,0.197,16.73,0.29,40.8,0.072,1.002,1.1,0,low,healthy
PC100048,2024-03-17,metro,plus,organic,26,289,55.64,1,11,1,0.238,31.77,0.116,57.0,0.179,0.938,58.4,0,high,healthy
PC100049,2023-09-29,metro,premium,paid_search,34,459,109.03,9,8,1,0.116,24.56,0.158,74.4,0.057,1.014,43.6,0,watch,healthy
PC100050,2024-03-18,metro,basic,paid_search,44,288,48.9,4,10,3,0.183,7.83,0.446,82.6,0.095,1.028,31.2,1,low,high
PC100051,2024-06-02,suburban,premium,paid_search,46,212,59.18,9,17,0,0.146,32.04,0.299,42.7,0.131,0.995,26.5,0,high,healthy
PC100052,2024-06-28,metro,plus,social,38,186,38.55,6,9,0,0.28,15.7,0.315,65.0,0.121,1.034,50.4,0,low,healthy
PC100053,2024-04-24,suburban,basic,social,66,251,138.63,13,15,0,0.037,2.67,0.344,55.7,0.052,1.12,28.9,1,low,healthy
PC100054,2024-07-21,metro,basic,affiliate,27,163,71.1,10,12,1,0.144,27.03,0.307,87.1,0.207,1.075,3.8,1,watch,healthy
PC100055,2024-09-21,metro,basic,affiliate,38,101,55.38,5,13,1,0.333,18.48,0.394,73.5,0.026,0.935,60.7,0,watch,high
PC100056,2024-03-04,metro,basic,paid_search,32,302,44.5,6,8,0,0.317,26.42,0.195,61.5,0.026,0.956,40.3,0,watch,healthy
PC100057,2024-05-13,suburban,basic,paid_search,51,232,73.41,10,14,0,0.317,21.76,0.475,68.2,0.012,1.029,0.9,0,watch,high
PC100058,2024-06-30,suburban,plus,referral,43,184,52.0,12,15,0,0.134,33.13,0.293,76.8,0.062,1.003,10.8,1,high,healthy
PC100059,2024-06-04,rural,basic,organic,41,210,42.49,5,7,4,0.248,18.52,0.126,22.1,0.102,0.961,28.4,1,watch,healthy
PC100060,2023-10-03,rural,basic,referral,32,455,39.52,3,7,1,0.292,33.43,0.201,57.9,0.079,0.82,43.5,0,high,healthy
PC100061,2024-07-12,metro,plus,social,38,172,70.31,8,7,0,0.185,58.22,0.247,67.9,0.073,0.956,71.4,0,critical,healthy
PC100062,2024-07-01,rural,basic,organic,41,183,16.75,11,13,1,0.422,27.39,0.197,74.3,0.062,0.998,15.7,0,watch,healthy
PC100063,2023-01-01,rural,plus,social,49,785,95.12,9,11,3,0.237,22.44,0.149,44.8,0.173,0.766,21.6,0,watch,healthy
PC100064,2023-06-07,suburban,plus,referral,31,573,44.15,7,10,0,0.076,13.91,0.149,57.0,0.021,0.714,51.2,0,low,healthy
PC100065,2023-10-31,metro,premium,social,25,427,27.51,6,12,0,0.052,9.26,0.252,67.6,0.025,1.125,33.8,1,low,healthy
PC100066,2024-04-19,suburban,plus,paid_search,53,256,39.85,7,9,1,0.068,10.66,0.339,76.2,0.116,0.71,22.5,0,low,healthy
PC100067,2023-01-01,metro,plus,paid_search,43,971,52.47,7,10,1,0.281,24.43,0.059,83.5,0.038,1.017,32.6,0,watch,low
PC100068,2023-09-08,suburban,basic,referral,55,480,37.64,11,11,0,0.106,16.71,0.227,39.9,0.001,0.822,18.6,0,low,healthy
PC100069,2023-01-21,suburban,plus,referral,48,710,34.59,6,12,2,0.125,16.25,0.127,1.0,0.046,1.031,36.8,0,low,healthy
PC100070,2024-01-22,suburban,premium,referral,26,344,90.01,11,15,1,0.016,24.19,0.154,90.6,0.167,1.07,27.5,0,watch,healthy
PC100071,2024-05-18,metro,basic,referral,26,227,68.05,5,10,2,0.27,23.82,0.163,65.6,0.065,0.907,23.3,0,watch,healthy
PC100072,2024-06-19,suburban,plus,affiliate,26,195,71.83,6,9,0,0.027,19.04,0.297,29.7,0.14,1.037,21.2,0,watch,healthy
PC100073,2024-07-19,suburban,plus,social,29,165,57.75,8,9,0,0.192,19.12,0.145,100.0,0.154,0.806,18.5,0,watch,healthy
PC100074,2024-04-10,suburban,plus,affiliate,50,265,71.27,4,14,0,0.35,26.12,0.141,70.6,0.04,1.026,33.4,0,watch,healthy
PC100075,2024-06-18,metro,basic,social,53,196,57.94,9,15,0,0.032,14.25,0.239,79.6,0.051,1.034,51.9,0,low,healthy
PC100076,2023-10-05,suburban,basic,social,27,453,35.2,4,10,0,0.179,12.34,0.107,37.0,0.003,1.193,39.8,0,low,healthy
PC100077,2024-07-11,metro,basic,organic,55,173,215.11,10,15,2,0.342,32.65,0.306,87.9,0.053,1.114,23.4,0,high,healthy
PC100078,2024-05-02,metro,premium,organic,35,243,49.38,11,11,0,0.406,30.9,0.116,78.9,0.094,1.045,12.0,0,high,healthy
PC100079,2024-06-08,metro,plus,social,35,206,59.6,10,14,1,0.312,22.09,0.328,73.8,0.054,1.036,7.5,0,watch,healthy
PC100080,2024-03-28,metro,basic,referral,24,278,89.52,10,11,2,0.067,19.37,0.366,60.6,0.041,0.942,26.2,0,watch,high
PC100081,2024-10-07,rural,basic,paid_search,26,85,44.24,3,11,1,0.35,23.03,0.129,64.2,0.032,0.999,41.7,0,watch,healthy
PC100082,2024-08-02,suburban,basic,referral,39,151,32.97,6,14,1,0.167,18.96,0.422,71.9,0.089,0.998,15.0,0,watch,high
PC100083,2024-07-03,suburban,basic,social,29,181,35.16,10,9,2,0.034,10.13,0.209,90.4,0.053,0.988,27.4,0,low,healthy
PC100084,2024-09-04,rural,plus,organic,51,118,57.33,8,9,1,0.189,13.41,0.263,58.7,0.068,0.829,18.5,0,low,healthy
PC100085,2024-03-21,suburban,plus,organic,29,285,81.07,6,13,2,0.027,8.52,0.153,28.5,0.151,1.155,29.9,0,low,healthy
PC100086,2024-06-28,suburban,plus,paid_search,34,186,80.56,12,12,0,0.071,8.99,0.235,62.0,0.041,1.16,7.0,0,low,healthy
PC100087,2024-01-11,suburban,plus,organic,39,355,73.29,12,16,1,0.283,29.03,0.226,77.9,0.156,1.22,28.5,0,watch,healthy
PC100088,2023-08-03,rural,plus,organic,38,516,127.85,6,14,0,0.499,35.17,0.115,64.4,0.013,0.985,31.4,0,high,healthy
PC100089,2024-11-01,suburban,basic,paid_search,49,60,82.91,5,15,3,0.331,44.38,0.068,43.2,0.057,1.001,42.3,0,high,low
PC100090,2023-12-10,metro,plus,paid_search,50,387,79.77,6,11,0,0.239,25.58,0.408,77.1,0.001,0.982,18.8,1,watch,high
PC100091,2023-08-31,metro,basic,organic,23,488,38.6,11,15,1,0.278,47.38,0.168,88.2,0.093,0.932,13.7,0,high,healthy
PC100092,2024-08-17,metro,basic,social,61,136,31.95,11,15,0,0.177,14.63,0.128,55.7,0.074,1.003,33.6,0,low,healthy
PC100093,2024-10-27,metro,basic,referral,27,65,36.12,10,14,0,0.166,13.64,0.003,71.1,0.106,0.937,19.4,0,low,low
PC100094,2024-07-27,metro,basic,affiliate,41,157,34.14,8,8,1,0.128,9.32,0.233,32.6,0.041,1.081,35.2,0,low,healthy
PC100095,2024-09-28,suburban,plus,referral,34,94,52.52,4,7,1,0.135,31.36,0.315,72.0,0.088,0.828,52.0,0,high,healthy
PC100096,2024-03-06,metro,premium,paid_search,35,300,56.16,11,8,1,0.104,12.05,0.389,65.3,0.021,0.889,2.2,0,low,high
PC100097,2024-05-29,rural,basic,organic,29,216,51.0,11,14,0,0.093,15.75,0.04,65.5,0.051,0.843,18.4,0,low,low
PC100098,2024-08-19,suburban,basic,referral,48,134,93.09,3,12,1,0.061,7.44,0.026,30.3,0.042,1.134,41.1,0,low,low
PC100099,2024-07-11,metro,plus,social,18,173,45.63,9,15,0,0.024,9.83,0.047,62.6,0.15,1.029,7.2,0,low,low
PC100100,2024-06-22,suburban,premium,referral,29,192,99.55,11,22,1,0.03,6.88,0.38,34.4,0.062,0.941,28.7,0,low,high
PC100101,2024-05-18,metro,premium,referral,47,227,43.72,10,7,0,0.224,17.85,0.473,84.9,0.165,1.146,21.1,1,low,high
PC100102,2023-12-17,rural,basic,organic,42,380,27.51,12,14,2,0.222,21.73,0.365,61.4,0.057,1.023,22.5,0,watch,high
PC100103,2023-09-17,metro,basic,organic,37,471,54.72,2,10,1,0.083,8.22,0.291,27.1,0.171,1.04,48.9,1,low,healthy
PC100104,2024-02-01,metro,basic,social,28,334,74.2,8,10,1,0.052,4.1,0.108,40.5,0.119,1.121,10.6,0,low,healthy
PC100105,2024-04-07,rural,plus,paid_search,21,268,48.7,9,20,1,0.161,20.31,0.21,82.6,0.062,1.243,45.0,0,watch,healthy
PC100106,2024-04-02,metro,basic,paid_search,48,273,53.77,6,16,0,0.107,25.79,0.23,48.9,0.037,0.944,34.5,0,watch,healthy
PC100107,2023-06-04,metro,basic,paid_search,35,576,44.79,8,16,2,0.147,21.25,0.229,59.7,0.114,1.065,7.7,0,watch,healthy
PC100108,2023-10-29,metro,basic,organic,22,429,40.06,6,9,0,0.34,18.07,0.484,65.4,0.229,1.216,32.3,0,watch,high
PC100109,2024-09-08,rural,basic,paid_search,29,114,112.63,12,12,0,0.127,32.85,0.152,65.3,0.006,1.088,10.4,1,high,healthy
PC100110,2024-03-06,suburban,basic,organic,40,300,49.23,5,9,1,0.132,9.99,0.185,60.0,0.153,1.11,32.9,0,low,healthy
PC100111,2024-03-28,suburban,plus,social,30,278,57.8,4,6,1,0.343,25.25,0.306,52.6,0.054,0.987,27.3,0,watch,healthy
PC100112,2024-04-12,suburban,plus,referral,41,263,42.71,5,6,1,0.177,40.01,0.261,25.8,0.171,0.959,69.4,1,high,healthy
PC100113,2023-12-18,rural,plus,social,18,379,69.49,13,17,1,0.085,15.9,0.437,97.4,0.084,1.053,40.3,0,low,high
PC100114,2024-01-24,suburban,basic,paid_search,60,342,78.45,10,12,1,0.018,15.53,0.211,77.7,0.056,0.848,14.0,1,low,healthy
PC100115,2024-03-21,metro,plus,organic,71,285,69.48,10,12,1,0.365,18.34,0.157,46.3,0.151,0.938,22.5,0,watch,healthy
PC100116,2023-09-30,metro,premium,paid_search,66,458,40.57,10,15,2,0.259,45.62,0.039,33.3,0.091,0.853,25.8,1,high,low
PC100117,2024-01-16,metro,basic,organic,29,350,43.9,7,10,1,0.265,24.28,0.247,41.9,0.053,0.902,42.8,0,watch,healthy
PC100118,2024-09-03,metro,basic,social,48,119,98.66,6,12,0,0.205,20.0,0.075,83.4,0.054,0.995,30.0,0,watch,low
PC100119,2023-11-17,suburban,basic,paid_search,46,410,46.72,9,10,1,0.099,14.8,0.348,44.1,0.031,1.021,17.3,0,low,healthy
PC100120,2024-04-26,suburban,plus,referral,37,249,41.28,6,14,2,0.189,37.05,0.042,55.1,0.14,1.027,37.6,0,high,low
PC100121,2024-09-02,suburban,premium,organic,39,120,24.0,12,12,1,0.033,25.75,0.097,61.7,0.041,1.1,0.5,0,watch,low
PC100122,2024-07-14,rural,plus,organic,48,170,17.76,5,5,0,0.149,38.97,0.042,43.6,0.001,1.225,30.8,0,high,low
PC100123,2024-03-16,metro,basic,referral,32,290,61.55,8,15,0,0.055,3.52,0.372,59.6,0.044,0.936,31.9,0,low,high
PC100124,2023-09-01,suburban,plus,paid_search,51,487,58.69,3,5,1,0.109,64.78,0.256,87.7,0.019,0.938,77.0,1,critical,healthy
PC100125,2023-01-01,metro,plus,paid_search,52,768,54.49,10,8,0,0.017,10.32,0.312,74.4,0.151,0.885,7.9,0,low,healthy
PC100126,2024-07-23,metro,basic,paid_search,38,161,77.47,7,12,0,0.082,29.08,0.171,39.4,0.049,1.058,17.4,0,watch,healthy
PC100127,2024-06-21,suburban,basic,organic,57,193,71.55,10,11,0,0.1,5.75,0.098,50.5,0.107,0.905,8.5,0,low,low
PC100128,2024-10-07,metro,basic,referral,45,85,66.71,8,22,2,0.159,15.68,0.112,57.9,0.076,1.044,8.2,1,low,healthy
PC100129,2024-02-26,suburban,basic,organic,46,309,42.86,7,18,0,0.044,15.61,0.323,91.5,0.0,1.078,20.8,0,low,healthy
PC100130,2024-09-22,suburban,basic,organic,38,100,58.09,7,9,1,0.13,17.29,0.134,76.3,0.054,1.001,29.2,0,low,healthy
PC100131,2024-09-22,metro,plus,social,59,100,117.44,8,16,1,0.094,13.52,0.274,60.2,0.035,0.871,11.4,0,low,healthy
PC100132,2024-05-18,metro,basic,social,64,227,84.57,4,16,2,0.112,7.32,0.224,66.5,0.164,0.815,38.0,0,low,healthy
PC100133,2024-02-06,metro,basic,paid_search,27,329,19.74,7,9,0,0.077,22.34,0.313,49.7,0.017,0.992,71.1,0,watch,healthy
PC100134,2024-01-20,metro,plus,paid_search,52,346,101.31,4,14,1,0.013,7.22,0.034,58.8,0.112,1.004,25.8,0,low,low
PC100135,2024-10-08,metro,premium,organic,28,84,153.16,13,15,0,0.065,21.37,0.172,86.4,0.089,0.878,14.7,0,watch,healthy
PC100136,2023-12-21,suburban,basic,social,29,376,61.92,7,3,0,0.22,28.91,0.246,50.1,0.006,0.919,34.4,0,watch,healthy
PC100137,2024-07-07,metro,premium,referral,38,177,69.88,8,11,1,0.045,13.47,0.143,75.5,0.041,1.05,16.8,0,low,healthy
PC100138,2024-06-09,rural,plus,affiliate,33,205,77.68,7,8,0,0.244,17.62,0.238,63.1,0.045,1.073,55.1,0,low,healthy
PC100139,2024-02-04,metro,plus,referral,26,331,81.48,8,14,1,0.067,26.59,0.404,20.0,0.066,0.921,13.2,0,watch,high
PC100140,2023-06-21,metro,basic,organic,49,559,46.41,9,10,1,0.044,27.58,0.136,52.0,0.041,1.139,25.9,0,watch,healthy
PC100141,2024-04-22,suburban,plus,referral,41,253,48.26,8,12,0,0.23,14.77,0.17,71.0,0.007,0.945,62.9,0,low,healthy
PC100142,2024-10-13,rural,basic,social,38,79,48.05,13,8,1,0.117,10.46,0.153,67.0,0.139,0.68,13.3,1,low,healthy
PC100143,2023-11-18,suburban,basic,affiliate,54,409,58.04,7,11,3,0.3,16.77,0.604,53.4,0.077,1.062,26.1,0,low,high
PC100144,2024-07-12,suburban,plus,social,34,172,69.9,7,12,0,0.035,6.46,0.21,60.1,0.051,0.99,21.9,0,low,healthy
PC100145,2024-07-27,suburban,basic,social,37,157,103.35,5,12,0,0.104,13.5,0.273,78.5,0.03,0.949,31.6,0,low,healthy
PC100146,2024-08-26,rural,plus,paid_search,54,127,87.75,10,12,1,0.343,26.96,0.258,57.5,0.078,0.804,14.3,0,watch,healthy
PC100147,2024-03-09,rural,plus,social,53,297,70.65,10,13,1,0.372,23.59,0.347,56.4,0.148,1.1,4.0,0,watch,healthy
PC100148,2024-09-15,suburban,basic,paid_search,27,107,28.35,10,15,1,0.073,5.53,0.282,71.7,0.082,0.915,27.0,0,low,healthy
PC100149,2024-08-14,metro,plus,referral,33,139,62.97,4,7,0,0.187,27.78,0.414,70.5,0.068,0.952,39.9,0,watch,high
PC100150,2024-08-15,metro,basic,referral,39,138,33.3,7,15,1,0.379,31.46,0.332,82.5,0.126,1.141,120.0,0,high,healthy
PC100151,2023-11-05,metro,basic,referral,39,422,58.39,10,8,1,0.228,27.55,0.153,63.8,0.08,1.072,30.1,0,watch,healthy
PC100152,2024-10-05,suburban,plus,paid_search,37,87,24.94,10,15,1,0.074,14.37,0.566,71.0,0.049,0.998,4.8,0,low,high
PC100153,2024-11-24,metro,basic,organic,37,37,48.02,6,12,1,0.076,8.26,0.053,79.1,0.063,1.056,28.2,0,low,low
PC100154,2024-03-21,suburban,premium,organic,35,285,58.13,10,13,2,0.099,9.31,0.188,60.3,0.059,0.906,15.2,0,low,healthy
PC100155,2024-04-21,metro,basic,social,40,254,41.18,10,14,2,0.411,31.97,0.179,69.9,0.118,1.178,20.6,1,high,healthy
PC100156,2024-09-16,rural,premium,referral,65,106,32.72,4,11,1,0.329,24.89,0.159,52.7,0.058,0.974,73.3,0,watch,healthy
PC100157,2024-07-01,suburban,basic,organic,32,183,43.37,4,11,1,0.232,19.56,0.331,55.9,0.2,1.098,36.8,0,watch,healthy
PC100158,2023-01-01,metro,basic,organic,25,838,80.83,3,12,0,0.254,23.15,0.078,60.1,0.248,0.865,49.7,0,watch,low
PC100159,2023-10-19,suburban,basic,paid_search,43,439,34.59,7,7,0,0.027,6.92,0.275,65.4,0.075,0.965,12.0,0,low,healthy
PC100160,2024-11-19,rural,plus,affiliate,43,42,41.18,4,16,1,0.1,15.64,0.118,77.7,0.055,1.007,34.8,0,low,healthy
PC100161,2023-09-05,metro,basic,paid_search,40,483,53.53,8,11,1,0.126,22.14,0.239,53.6,0.111,0.858,20.0,0,watch,healthy
PC100162,2024-01-27,suburban,plus,organic,44,339,55.0,11,17,2,0.237,22.72,0.399,65.2,0.052,0.903,22.5,1,watch,high
PC100163,2024-01-03,suburban,plus,organic,50,363,66.64,5,10,1,0.461,23.63,0.359,60.2,0.144,1.04,60.7,0,watch,high
PC100164,2023-09-15,rural,plus,referral,58,473,141.32,8,6,1,0.314,25.22,0.226,63.5,0.055,0.865,35.6,0,watch,healthy
PC100165,2024-11-13,suburban,basic,referral,38,48,75.1,4,11,0,0.227,10.08,0.186,66.2,0.086,1.086,54.1,0,low,healthy
PC100166,2024-09-09,metro,plus,referral,41,113,78.09,11,11,2,0.131,10.82,0.514,41.5,0.065,1.134,30.9,0,low,high
PC100167,2024-03-30,rural,basic,organic,35,276,52.84,7,16,0,0.242,15.79,0.142,67.1,0.064,1.174,73.9,0,low,healthy
PC100168,2024-03-07,rural,plus,social,48,299,63.98,6,11,2,0.325,30.83,0.246,66.9,0.041,1.004,51.6,0,high,healthy
PC100169,2023-12-27,metro,premium,organic,35,370,24.24,8,13,1,0.011,21.25,0.195,46.7,0.083,0.96,36.4,0,watch,healthy
PC100170,2024-08-13,metro,plus,social,33,140,37.63,11,11,0,0.036,29.08,0.179,96.8,0.2,1.122,27.6,0,watch,healthy
PC100171,2024-07-04,metro,basic,social,32,180,44.02,3,14,1,0.139,15.77,0.169,60.8,0.149,1.06,40.3,1,low,healthy
PC100172,2024-07-15,metro,plus,referral,44,169,24.14,8,11,0,0.049,15.53,0.393,36.5,0.048,1.019,16.2,1,low,high
PC100173,2024-06-24,suburban,plus,organic,36,190,64.89,4,17,0,0.082,31.47,0.303,89.7,0.032,0.968,33.9,0,high,healthy
PC100174,2024-05-16,suburban,basic,referral,35,229,23.37,4,8,0,0.068,18.81,0.119,65.2,0.063,0.861,23.5,0,watch,healthy
PC100175,2023-03-05,rural,plus,organic,48,667,48.62,9,18,2,0.259,23.09,0.252,64.4,0.172,0.89,31.0,1,watch,healthy
PC100176,2024-07-26,metro,plus,referral,38,158,52.41,7,10,1,0.248,35.73,0.308,83.6,0.045,0.932,23.5,0,high,healthy
PC100177,2024-01-08,suburban,plus,paid_search,31,358,27.17,8,11,0,0.224,13.41,0.171,63.7,0.044,1.195,14.7,0,low,healthy
PC100178,2024-10-24,suburban,basic,paid_search,37,68,95.47,7,6,1,0.101,13.24,0.474,76.7,0.046,1.162,27.1,0,low,high
PC100179,2024-01-28,rural,basic,organic,38,338,56.79,9,13,0,0.078,18.46,0.279,77.0,0.134,0.967,35.7,0,watch,healthy
PC100180,2024-08-19,rural,basic,paid_search,35,134,70.51,8,10,0,0.264,17.29,0.403,92.6,0.179,1.059,14.4,1,low,high
PC100181,2024-02-26,metro,plus,referral,40,309,105.36,9,8,0,0.03,11.27,0.321,74.7,0.001,1.076,16.5,0,low,healthy
PC100182,2024-06-02,metro,basic,social,20,212,44.6,5,7,2,0.195,17.35,0.212,67.2,0.06,1.055,54.6,0,low,healthy
PC100183,2023-01-01,suburban,basic,paid_search,32,1051,51.35,6,12,1,0.173,10.0,0.368,83.7,0.138,1.016,51.5,0,low,high
PC100184,2023-06-16,suburban,plus,referral,35,564,31.62,7,14,0,0.359,17.49,0.443,60.2,0.124,0.96,33.2,0,low,high
PC100185,2024-04-27,suburban,plus,affiliate,39,248,81.78,5,13,2,0.462,29.79,0.278,64.3,0.202,1.081,60.7,0,watch,healthy
PC100186,2024-05-11,suburban,premium,referral,47,234,50.87,5,17,1,0.053,14.78,0.22,52.8,0.056,0.933,89.4,0,low,healthy
PC100187,2023-01-01,suburban,premium,organic,41,841,45.19,13,13,1,0.123,16.72,0.385,49.4,0.068,1.088,7.6,0,low,high
PC100188,2023-09-09,rural,plus,paid_search,20,479,58.42,14,17,0,0.141,24.98,0.251,42.5,0.011,0.717,20.2,0,watch,healthy
PC100189,2024-11-02,metro,basic,social,18,59,41.84,13,17,0,0.036,6.9,0.202,96.5,0.036,1.172,14.9,0,low,healthy
PC100190,2024-08-15,metro,plus,affiliate,43,138,27.69,5,14,0,0.253,24.95,0.334,62.1,0.086,0.893,40.9,0,watch,healthy
